#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_008596.1	54265	55803	-	4534494	-	MSMEG_0033	YP_884453.1	512	-	protein phosphatase 2C
chr	NC_008596.1	55826	56293	-	4531676	-	MSMEG_0034	YP_884454.1	155	-	FHA domain-containing protein
chr	NC_008596.1	56429	57892	-	4536357	-	MSMEG_0035	YP_884455.1	487	-	FHA domain-containing protein
chr	NC_008596.1	58033	58140	-	4532875	-	MSMEG_0036	YP_884456.1	35	-	hypothetical protein MSMEG_0036
chr	NC_008596.1	58655	59029	-	4535298	-	MSMEG_0039	YP_884457.1	124	-	small membrane hydrophobic protein
chr	NC_008596.1	59041	59346	-	4536821	-	MSMEG_0040	YP_884458.1	101	-	hypothetical protein MSMEG_0040
chr	NC_008596.1	59348	59824	-	4533701	-	MSMEG_0041	YP_884459.1	158	-	hypothetical protein MSMEG_0041
chr	NC_008596.1	59900	60463	+	4535514	-	MSMEG_0042	YP_884460.1	187	-	TetR family transcriptional regulator
chr	NC_008596.1	60479	61303	-	4537348	-	MSMEG_0043	YP_884461.1	274	-	extradiol ring-cleavage dioxygenase, class III enzyme, subunit B
chr	NC_008596.1	61470	63548	+	4531639	-	MSMEG_0044	YP_884462.1	692	-	hypothetical protein MSMEG_0044
chr	NC_008596.1	63545	66013	+	4534323	-	MSMEG_0045	YP_884463.1	822	-	hypothetical protein MSMEG_0045
chr	NC_008596.1	66010	67167	+	4534000	-	MSMEG_0046	YP_884464.1	385	-	hypothetical protein MSMEG_0046
chr	NC_008596.1	67182	68117	-	4536994	-	MSMEG_0047	YP_884465.1	311	-	hypothetical protein MSMEG_0047
chr	NC_008596.1	68264	68767	+	4536420	-	MSMEG_0048	YP_884466.1	167	-	pyridoxamine 5\'-phosphate oxidase
chr	NC_008596.1	68769	69734	-	4537070	-	MSMEG_0049	YP_884467.1	321	-	pirin
chr	NC_008596.1	69779	70045	+	4534274	-	MSMEG_0050	YP_884468.1	88	-	hypothetical protein MSMEG_0050
chr	NC_008596.1	70234	70527	-	4533195	-	MSMEG_0051	YP_884469.1	97	-	transcription factor WhiB family protein
chr	NC_008596.1	70911	71690	+	4536937	-	MSMEG_0052	YP_884470.1	259	-	hypothetical protein MSMEG_0052
chr	NC_008596.1	71738	72823	+	4533735	-	MSMEG_0054	YP_884471.1	361	-	ISMsm2, transposase
chr	NC_008596.1	72820	74208	-	4536441	-	MSMEG_0053	YP_884472.1	462	-	hypothetical protein MSMEG_0053
chr	NC_008596.1	74600	76177	+	4535365	-	MSMEG_0055	YP_884473.1	525	-	hypothetical protein MSMEG_0055
chr	NC_008596.1	76213	76530	+	4535566	-	MSMEG_0056	YP_884474.1	105	-	hypothetical protein MSMEG_0056
chr	NC_008596.1	76535	77383	+	4531357	-	MSMEG_0057	YP_884475.1	282	-	hypothetical protein MSMEG_0057
chr	NC_008596.1	77398	77925	+	4532540	-	MSMEG_0058	YP_884476.1	175	-	hypothetical protein MSMEG_0058
chr	NC_008596.1	77918	79642	+	4532911	-	MSMEG_0059	YP_884477.1	574	-	ATPase AAA
chr	NC_008596.1	79650	81089	+	4537565	-	MSMEG_0060	YP_884478.1	479	-	hypothetical protein MSMEG_0060
chr	NC_008596.1	81089	83317	+	4532900	-	MSMEG_0061	YP_884479.1	742	-	ftsk/SpoIIIE family protein
chr	NC_008596.1	83318	85099	+	4534286	-	MSMEG_0062	YP_884480.1	593	-	ftsk/SpoIIIE family protein
chr	NC_008596.1	85248	85541	+	4534995	-	MSMEG_0063	YP_884481.1	97	-	PE family protein
chr	NC_008596.1	85616	86911	+	4532706	-	MSMEG_0064	YP_884482.1	431	-	PPE family protein
chr	NC_008596.1	86997	87299	+	4537352	-	MSMEG_0065	YP_884483.1	100	-	hypothetical protein MSMEG_0065
chr	NC_008596.1	87331	87618	+	4536621	-	MSMEG_0066	YP_884484.1	95	-	early secretory antigenic target, 6 kDa
chr	NC_008596.1	87738	89162	+	4534233	-	MSMEG_0067	YP_884485.1	474	-	hypothetical protein MSMEG_0067
chr	NC_008596.1	89159	90691	+	4536592	-	MSMEG_0068	YP_884486.1	510	-	transmembrane protein
chr	NC_008596.1	91173	91874	+	4534696	-	MSMEG_0069	YP_884487.1	233	-	translation initiation factor IF-2
chr	NC_008596.1	92737	93072	+	4535602	-	MSMEG_0070	YP_884488.1	111	-	hypothetical protein MSMEG_0070
chr	NC_008596.1	93072	95339	+	4534998	-	MSMEG_0071	YP_884489.1	755	-	hypothetical protein MSMEG_0071
chr	NC_008596.1	96469	97935	+	4532456	-	MSMEG_0074	YP_884490.1	488	-	IS1549, transposase
chr	NC_008596.1	99229	99585	+	4536501	-	MSMEG_0075	YP_884491.1	118	-	hypothetical protein MSMEG_0075
chr	NC_008596.1	99798	101360	+	4533442	-	MSMEG_0076	YP_884492.1	520	-	antigen MTB48
chr	NC_008596.1	101776	102093	-	4534935	-	MSMEG_0077	YP_884493.1	105	-	hypothetical protein MSMEG_0077
chr	NC_008596.1	102127	102702	-	4534871	-	MSMEG_0078	YP_884494.1	191	-	hypothetical protein MSMEG_0078
chr	NC_008596.1	102936	103682	-	4534583	-	MSMEG_0079	YP_884495.1	248	-	hypothetical protein MSMEG_0079
chr	NC_008596.1	103713	104243	-	4534290	-	MSMEG_0080	YP_884496.1	176	-	hypothetical protein MSMEG_0080
chr	NC_008596.1	104251	104583	-	4537282	-	MSMEG_0081	YP_884497.1	110	-	hypothetical protein MSMEG_0081
chr	NC_008596.1	104594	105988	-	4535596	-	MSMEG_0082	YP_884498.1	464	-	hypothetical protein MSMEG_0082
chr	NC_008596.1	105985	107334	-	4531254	-	MSMEG_0083	YP_884499.1	449	-	membrane-anchored mycosin mycp1
chr	NC_008596.1	107565	107822	-	4532872	-	MSMEG_0084	YP_884500.1	85	-	phosphocarrier protein HPr
chr	NC_008596.1	107834	109849	-	4533992	-	MSMEG_0085	YP_884501.1	671	-	PTS system, Fru family protein, IIABC components
chr	NC_008596.1	109846	110829	-	4537655	-	MSMEG_0086	YP_884502.1	327	-	1-phosphofructokinase
chr	NC_008596.1	110826	111593	-	4535307	-	MSMEG_0087	YP_884503.1	255	-	glucitol operon repressor
chr	NC_008596.1	111735	113369	+	4533147	ptsI	MSMEG_0088	YP_884504.1	544	-	phosphoenolpyruvate-protein phosphotransferase
chr	NC_008596.1	113433	114407	+	4533128	-	MSMEG_0089	YP_884505.1	324	-	chromosome condensation protein
chr	NC_008596.1	114447	116594	-	4531487	-	MSMEG_0090	YP_884506.1	715	-	hypothetical protein MSMEG_0090
chr	NC_008596.1	116600	117193	-	4536176	-	MSMEG_0091	YP_884507.1	197	-	transcriptional regulator
chr	NC_008596.1	117306	117941	+	4533383	-	MSMEG_0092	YP_884508.1	211	-	transcriptional regulatory protein
chr	NC_008596.1	118003	118965	+	4531398	-	MSMEG_0093	YP_884509.1	320	-	methyltransferase
chr	NC_008596.1	118962	119897	+	4531416	-	MSMEG_0095	YP_884510.1	311	-	methyltransferase
chr	NC_008596.1	119878	120057	-	4533594	-	MSMEG_0094	YP_884511.1	59	-	hypothetical protein MSMEG_0094
chr	NC_008596.1	120261	121115	+	4533910	-	MSMEG_0096	YP_884512.1	284	-	peroxisomal hydratase-dehydrogenase-epimerase
chr	NC_008596.1	121119	122084	+	4535982	-	MSMEG_0097	YP_884513.1	321	-	oxidoreductase, zinc-binding dehydrogenase
chr	NC_008596.1	122105	122818	+	4532165	-	MSMEG_0098	YP_884514.1	237	-	methyltransferase
chr	NC_008596.1	122829	123314	+	4533212	-	MSMEG_0099	YP_884515.1	161	-	hypothetical protein MSMEG_0099
chr	NC_008596.1	123311	123865	+	4533137	-	MSMEG_0101	YP_884516.1	184	-	hypothetical protein MSMEG_0101
chr	NC_008596.1	123837	124643	-	4531912	-	MSMEG_0100	YP_884517.1	268	-	phosphotyrosine protein phosphatase ptpb
chr	NC_008596.1	124640	125875	-	4533004	-	MSMEG_0102	YP_884518.1	411	-	acyl-CoA dehydrogenase
chr	NC_008596.1	125900	127099	-	4532553	-	MSMEG_0103	YP_884519.1	399	-	major facilitator family protein transporter
chr	NC_008596.1	127143	128024	-	4534198	-	MSMEG_0104	YP_884520.1	293	-	LysR family transcriptional regulator
chr	NC_008596.1	128084	128734	+	4536254	-	MSMEG_0105	YP_884521.1	216	-	LuxR family transcriptional regulator
chr	NC_008596.1	128750	129916	+	4536311	-	MSMEG_0106	YP_884522.1	388	-	sensory histidine kinase
chr	NC_008596.1	129926	131527	-	4535185	-	MSMEG_0107	YP_884523.1	533	-	cell envelope-related function transcriptional attenuator
chr	NC_008596.1	131570	132709	-	4535049	-	MSMEG_0108	YP_884524.1	379	-	acyl-CoA dehydrogenase
chr	NC_008596.1	132711	134153	-	4537525	pntB	MSMEG_0109	YP_884525.1	480	-	NAD(P) transhydrogenase subunit beta
chr	NC_008596.1	134172	135713	-	4531867	pntA	MSMEG_0110	YP_884526.1	513	-	NAD(P) transhydrogenase subunit alpha
chr	NC_008596.1	135783	136787	-	4532188	-	MSMEG_0111	YP_884527.1	334	-	magnesium transporter
chr	NC_008596.1	136796	136912	-	4535663	-	MSMEG_0112	YP_884528.1	38	-	hypothetical protein MSMEG_0112
chr	NC_008596.1	136950	137810	+	4532372	-	MSMEG_0113	YP_884529.1	286	-	taurine transporter permease TauC
chr	NC_008596.1	137817	138845	+	4533591	-	MSMEG_0114	YP_884530.1	342	-	extracellular solute-binding protein
chr	NC_008596.1	138829	139626	+	4533525	-	MSMEG_0116	YP_884531.1	265	-	taurine import ATP-binding protein TauB
chr	NC_008596.1	139607	140287	-	4533279	dehII	MSMEG_0115	YP_884532.1	226	-	haloacid dehalogenase
chr	NC_008596.1	140284	141147	-	4537441	-	MSMEG_0117	YP_884533.1	287	-	hydrolase
chr	NC_008596.1	141232	141732	+	4533901	-	MSMEG_0118	YP_884534.1	166	-	hypothetical protein MSMEG_0118
chr	NC_008596.1	141740	141850	-	4536323	-	MSMEG_0119	YP_884535.1	36	-	hypothetical protein MSMEG_0119
chr	NC_008596.1	141969	142628	+	4537094	-	MSMEG_0120	YP_884536.1	219	-	transcriptional regulatory protein
chr	NC_008596.1	142625	143398	+	4534829	-	MSMEG_0121	YP_884537.1	257	-	rhamnolipid biosynthesis 3-oxoacyl-ACP reductase
chr	NC_008596.1	143535	144542	+	4536605	-	MSMEG_0122	YP_884538.1	335	-	periplasmic solute-binding protein
chr	NC_008596.1	144542	145048	+	4532554	-	MSMEG_0123	YP_884539.1	168	-	hypothetical protein MSMEG_0123
chr	NC_008596.1	145067	146593	+	4534172	-	MSMEG_0125	YP_884540.1	508	-	integral membrane protein
chr	NC_008596.1	146549	147232	-	4537021	-	MSMEG_0124	YP_884541.1	227	-	GntR family transcriptional regulator
chr	NC_008596.1	147229	148347	-	4536198	-	MSMEG_0126	YP_884542.1	372	-	mandelate racemase/muconate lactonizing enzyme
chr	NC_008596.1	148387	149478	-	4534581	-	MSMEG_0127	YP_884543.1	363	-	oxidoreductase, zinc-binding dehydrogenase
chr	NC_008596.1	149514	149963	+	4536565	-	MSMEG_0128	YP_884544.1	149	-	thioesterase
chr	NC_008596.1	149990	150424	+	4537699	-	MSMEG_0129	YP_884545.1	144	-	cyclase/dehydrase
chr	NC_008596.1	150431	151123	-	4535047	-	MSMEG_0130	YP_884546.1	230	-	GntR family transcriptional regulator
chr	NC_008596.1	151273	152907	+	4532319	-	MSMEG_0131	YP_884547.1	544	-	long-chain-fatty-acid--CoA ligase
chr	NC_008596.1	153100	153900	+	4531586	-	MSMEG_0132	YP_884548.1	266	-	hypothetical protein MSMEG_0132
chr	NC_008596.1	153902	154771	+	4534877	-	MSMEG_0133	YP_884549.1	289	-	ABC transporter
chr	NC_008596.1	154776	156005	+	4532777	-	MSMEG_0134	YP_884550.1	409	-	virulence factor Mce family protein
chr	NC_008596.1	156002	157033	+	4535097	-	MSMEG_0135	YP_884551.1	343	-	virulence factor Mce family protein
chr	NC_008596.1	157030	158604	+	4537025	-	MSMEG_0136	YP_884552.1	524	-	virulence factor Mce family protein
chr	NC_008596.1	158623	160266	+	4536528	-	MSMEG_0137	YP_884553.1	547	-	virulence factor mce family protein
chr	NC_008596.1	160266	161438	+	4531663	-	MSMEG_0138	YP_884554.1	390	-	virulence factor Mce family protein
chr	NC_008596.1	161440	162996	+	4531031	-	MSMEG_0139	YP_884555.1	518	-	mce-family protein mce1f
chr	NC_008596.1	162966	163574	+	4532576	-	MSMEG_0140	YP_884556.1	202	-	mce associated membrane protein
chr	NC_008596.1	163571	164539	+	4533952	-	MSMEG_0141	YP_884557.1	322	-	mce associated transmembrane protein
chr	NC_008596.1	164536	165084	+	4533860	-	MSMEG_0142	YP_884558.1	182	-	hypothetical protein MSMEG_0142
chr	NC_008596.1	165051	165941	+	4532295	-	MSMEG_0143	YP_884559.1	296	-	mce associated membrane protein
chr	NC_008596.1	165944	166612	+	4533519	-	MSMEG_0145	YP_884560.1	222	-	hypothetical protein MSMEG_0145
chr	NC_008596.1	166609	168477	-	4531558	-	MSMEG_0144	YP_884561.1	622	-	HNH endonuclease
chr	NC_008596.1	168543	169361	-	4534370	-	MSMEG_0146	YP_884562.1	272	-	mosc domain-containing protein
chr	NC_008596.1	169419	170333	-	4535468	-	MSMEG_0147	YP_884563.1	304	-	C-5 sterol desaturase
chr	NC_008596.1	170367	170996	-	4537475	-	MSMEG_0148	YP_884564.1	209	-	TetR family transcriptional regulator
chr	NC_008596.1	171077	172504	-	4533688	-	MSMEG_0149	YP_884565.1	475	-	thiamine biosynthesis protein ThiC
chr	NC_008596.1	172501	173934	-	4533454	-	MSMEG_0150	YP_884566.1	477	-	NAD(P) transhydrogenase subunit beta
chr	NC_008596.1	173931	174254	-	4536197	-	MSMEG_0151	YP_884567.1	107	-	PntAB protein
chr	NC_008596.1	174258	175340	-	4534751	-	MSMEG_0152	YP_884568.1	360	-	alanine dehydrogenase
chr	NC_008596.1	175555	176568	+	4533776	panE	MSMEG_0153	YP_884569.1	337	-	2-dehydropantoate 2-reductase
chr	NC_008596.1	176579	178012	+	4535708	pyk	MSMEG_0154	YP_884570.1	477	-	pyruvate kinase
chr	NC_008596.1	178054	178524	-	4532483	-	MSMEG_0155	YP_884571.1	156	-	transcriptional regulator
chr	NC_008596.1	178631	179557	+	4531812	-	MSMEG_0156	YP_884572.1	308	-	LysR family transcriptional regulator
chr	NC_008596.1	179717	181450	+	4531329	-	MSMEG_0157	YP_884573.1	577	-	oxalyl-CoA decarboxylase
chr	NC_008596.1	181519	182781	+	4535711	-	MSMEG_0158	YP_884574.1	420	-	formyl-coenzyme A transferase
chr	NC_008596.1	182884	183369	+	4530839	-	MSMEG_0159	YP_884575.1	161	-	formate dehydrogenase subunit gamma
chr	NC_008596.1	183366	184964	+	4533831	-	MSMEG_0160	YP_884576.1	532	-	formate dehydrogenase subunit beta
chr	NC_008596.1	184961	187780	+	4533672	-	MSMEG_0161	YP_884577.1	939	-	formate dehydrogenase subunit alpha
chr	NC_008596.1	187782	188006	+	4535503	-	MSMEG_0162	YP_884578.1	74	-	NAD-dependent formate dehydrogenase subunit delta
chr	NC_008596.1	188070	188381	-	4530951	-	MSMEG_0163	YP_884579.1	103	-	hypothetical protein MSMEG_0163
chr	NC_008596.1	188427	189770	-	4532752	-	MSMEG_0164	YP_884580.1	447	-	transmembrane transporter
chr	NC_008596.1	189944	190786	+	4536259	fdhD	MSMEG_0165	YP_884581.1	280	-	formate dehydrogenase accessory protein
chr	NC_008596.1	190817	191545	-	4537580	-	MSMEG_0166	YP_884582.1	242	-	GntR family transcriptional regulator
chr	NC_008596.1	191746	193149	-	4531003	-	MSMEG_0167	YP_884583.1	467	-	transmembrane transporter
chr	NC_008596.1	193685	194971	+	4533422	-	MSMEG_0168	YP_884584.1	428	-	formyl-coenzyme A transferase
chr	NC_008596.1	195087	195203	-	4536175	-	MSMEG_0169	YP_884585.1	38	-	hypothetical protein MSMEG_0169
chr	NC_008596.1	195185	196567	+	4535158	-	MSMEG_0170	YP_884586.1	460	-	transmembrane transporter
chr	NC_008596.1	196658	197587	+	4533586	-	MSMEG_0171	YP_884587.1	309	-	histone deacetylase superfamily protein
chr	NC_008596.1	197588	198190	-	4533695	-	MSMEG_0172	YP_884588.1	200	-	transmembrane protein
chr	NC_008596.1	198371	198691	-	4535416	-	MSMEG_0173	YP_884589.1	106	-	hypothetical protein MSMEG_0173
chr	NC_008596.1	198688	199059	-	4535756	-	MSMEG_0174	YP_884590.1	123	-	inner membrane protein
chr	NC_008596.1	199157	200293	+	4536782	-	MSMEG_0175	YP_884591.1	378	-	FAD dependent oxidoreductase
chr	NC_008596.1	200304	201158	+	4534705	-	MSMEG_0176	YP_884592.1	284	-	glutamine ABC transporter periplasmic protein
chr	NC_008596.1	201116	202087	+	4536623	-	MSMEG_0177	YP_884593.1	323	-	polar amino acid ABC transporter inner membrane protein
chr	NC_008596.1	202084	202866	+	4533066	-	MSMEG_0178	YP_884594.1	260	-	ATP-binding protein
chr	NC_008596.1	202876	203547	-	4534859	-	MSMEG_0179	YP_884595.1	223	-	GntR family transcriptional regulator
chr	NC_008596.1	203664	204173	-	4531589	-	MSMEG_0180	YP_884596.1	169	-	HTH-type transcriptional regulator
chr	NC_008596.1	204225	205163	+	4532317	-	MSMEG_0181	YP_884597.1	312	-	alpha-ketoglutarate-dependent taurine dioxygenase
chr	NC_008596.1	205190	206347	+	4532398	-	MSMEG_0182	YP_884598.1	385	-	epoxide hydrolase 1
chr	NC_008596.1	206362	208134	+	4533091	-	MSMEG_0184	YP_884599.1	590	-	transferase
chr	NC_008596.1	208033	208584	-	4535626	-	MSMEG_0183	YP_884600.1	183	-	hypothetical protein MSMEG_0183
chr	NC_008596.1	208581	211442	-	4537140	-	MSMEG_0185	YP_884601.1	953	-	MmpL6 protein
chr	NC_008596.1	211421	211915	-	4536136	-	MSMEG_0186	YP_884602.1	164	-	MmpS2 protein
chr	NC_008596.1	212103	212558	+	4533215	-	MSMEG_0188	YP_884603.1	151	-	MarR family transcriptional regulator
chr	NC_008596.1	212548	213024	-	4534774	-	MSMEG_0187	YP_884604.1	158	-	acetyltransferase
chr	NC_008596.1	212999	214165	-	4536037	anmK	MSMEG_0189	YP_884605.1	388	-	anhydro-N-acetylmuramic acid kinase
chr	NC_008596.1	214183	215742	-	4531662	-	MSMEG_0190	YP_884606.1	519	-	integral membrane transporter
chr	NC_008596.1	215751	216680	-	4533641	-	MSMEG_0191	YP_884607.1	309	-	BadF/BadG/BcrA/BcrD ATPase
chr	NC_008596.1	216912	217814	+	4537013	-	MSMEG_0192	YP_884608.1	300	-	RpiR family transcriptional regulator protein
chr	NC_008596.1	217828	218724	+	4533731	murQ	MSMEG_0193	YP_884609.1	298	-	N-acetylmuramic acid 6-phosphate etherase
chr	NC_008596.1	218725	219423	-	4533676	-	MSMEG_0194	YP_884610.1	232	-	serine esterase, cutinase
chr	NC_008596.1	219598	221238	+	4535039	-	MSMEG_0195	YP_884611.1	546	-	steroid monooxygenase
chr	NC_008596.1	221243	222139	+	4537413	-	MSMEG_0196	YP_884612.1	298	-	dehydrogenase
chr	NC_008596.1	222149	222793	-	4532363	-	MSMEG_0197	YP_884613.1	214	-	nudix hydrolase
chr	NC_008596.1	222803	223936	-	4535631	-	MSMEG_0198	YP_884614.1	377	-	acyl-CoA dehydrogenase
chr	NC_008596.1	225160	227712	+	4531433	-	MSMEG_0200	YP_884615.1	850	-	hypothetical protein MSMEG_0200
chr	NC_008596.1	227725	228231	-	4531909	-	MSMEG_0201	YP_884616.1	168	-	hypothetical protein MSMEG_0201
chr	NC_008596.1	227950	229272	+	4535271	-	MSMEG_0202	YP_884617.1	440	-	IS1096, tnpA protein
chr	NC_008596.1	229280	229981	-	4535784	-	MSMEG_0203	YP_884618.1	233	-	IS1096, tnpR protein
chr	NC_008596.1	230210	232255	+	4531378	-	MSMEG_0204	YP_884619.1	681	-	hypothetical protein MSMEG_0204
chr	NC_008596.1	232344	232667	-	4532795	-	MSMEG_0205	YP_884620.1	107	-	tetracenomycin polyketide synthesis hydroxylase TcmH
chr	NC_008596.1	232728	233168	+	4533501	-	MSMEG_0207	YP_884621.1	146	-	MarR family transcriptional regulator
chr	NC_008596.1	233161	235296	-	4534948	-	MSMEG_0206	YP_884622.1	711	-	acyltransferase
chr	NC_008596.1	235408	235785	+	4535778	-	MSMEG_0208	YP_884623.1	125	-	ribonuclease
chr	NC_008596.1	235782	236060	+	4534314	-	MSMEG_0209	YP_884624.1	92	-	ribonuclease inhibitor
chr	NC_008596.1	236061	237149	-	4534406	-	MSMEG_0210	YP_884625.1	362	-	LprO protein
chr	NC_008596.1	237244	239607	-	4530862	-	MSMEG_0211	YP_884626.1	787	-	ABC transporter ATP-binding protein
chr	NC_008596.1	239607	240026	-	4532255	-	MSMEG_0212	YP_884627.1	139	-	lyase
chr	NC_008596.1	240031	240471	-	4532311	-	MSMEG_0213	YP_884628.1	146	-	transcriptional regulator
chr	NC_008596.1	240488	241771	-	4531055	-	MSMEG_0214	YP_884629.1	427	-	L-sorbosone dehydrogenase
chr	NC_008596.1	241749	242465	-	4537419	-	MSMEG_0215	YP_884630.1	238	-	hypothetical protein MSMEG_0215
chr	NC_008596.1	242603	243397	+	4533309	-	MSMEG_0216	YP_884631.1	264	-	3-hydroxyacyl-CoA dehydrogenase
chr	NC_008596.1	243477	244601	-	4535822	-	MSMEG_0217	YP_884632.1	374	-	alcohol dehydrogenase
chr	NC_008596.1	244773	245267	+	4537098	-	MSMEG_0218	YP_884633.1	164	-	3-demethylubiquinone-9 3-methyltransferase
chr	NC_008596.1	245271	246293	-	4533155	-	MSMEG_0219	YP_884634.1	340	-	RNA polymerase factor sigma-70
chr	NC_008596.1	246357	247199	+	4532461	-	MSMEG_0220	YP_884635.1	280	-	monoglyceride lipase
chr	NC_008596.1	247214	248173	+	4534154	-	MSMEG_0221	YP_884636.1	319	-	hypothetical protein MSMEG_0221
chr	NC_008596.1	248214	248957	+	4533970	-	MSMEG_0222	YP_884637.1	247	-	hypothetical protein MSMEG_0222
chr	NC_008596.1	248954	249436	+	4533477	-	MSMEG_0223	YP_884638.1	160	-	hypothetical protein MSMEG_0223
chr	NC_008596.1	249456	250112	+	4532629	-	MSMEG_0224	YP_884639.1	218	-	O-methyltransferase MdmC
chr	NC_008596.1	250120	253017	-	4537380	-	MSMEG_0225	YP_884640.1	965	-	MmpL4 protein
chr	NC_008596.1	253014	253442	-	4533472	-	MSMEG_0226	YP_884641.1	142	-	MmpS5 protein
chr	NC_008596.1	253688	254257	+	4531090	-	MSMEG_0227	YP_884642.1	189	-	TetR family transcriptional regulator
chr	NC_008596.1	254330	257482	+	4532924	-	MSMEG_0228	YP_884643.1	1050	-	adenylate and guanylate cyclase catalytic domain-containing protein
chr	NC_008596.1	257573	259288	-	4534428	ilvD	MSMEG_0229	YP_884644.1	571	-	dihydroxy-acid dehydratase
chr	NC_008596.1	259367	259672	+	4534215	-	MSMEG_0230	YP_884645.1	101	-	hypothetical protein MSMEG_0230
chr	NC_008596.1	259691	259990	-	4536158	-	MSMEG_0231	YP_884646.1	99	-	hypothetical protein MSMEG_0231
chr	NC_008596.1	260053	261282	+	4535366	-	MSMEG_0232	YP_884647.1	409	-	sugar transporter family protein
chr	NC_008596.1	261440	262480	+	4533551	-	MSMEG_0233	YP_884648.1	346	-	lipoprotein Lpps
chr	NC_008596.1	262543	264543	-	4537325	-	MSMEG_0234	YP_884649.1	666	-	metallopeptidase
chr	NC_008596.1	264607	265227	+	4532088	-	MSMEG_0235	YP_884650.1	206	-	hypothetical protein MSMEG_0235
chr	NC_008596.1	265224	265913	+	4532450	-	MSMEG_0236	YP_884651.1	229	-	transmembrane protein
chr	NC_008596.1	266047	267453	+	4534471	-	MSMEG_0237	YP_884652.1	468	-	ISMsm3, transposase
chr	NC_008596.1	267632	268102	-	4535748	-	MSMEG_0238	YP_884653.1	156	-	O-acetylhomoserine/O-acetylserine sulfhydrylase
