"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"accD6"	"acetyl/propionyl-CoA carboxylase &beta; chain"	|Genes|	"superpathway of mycolate biosynthesis" // "biotin-carboxyl carrier protein assembly" // "fatty acid biosynthesis initiation I"	"fatty acid catabolic process" // "growth" // "fatty acid elongation, saturated fatty acid"	"cytosol" // "acetyl-CoA carboxylase complex" // "cell wall"	"ligase activity" // "ATP binding" // "protein binding" // "propionyl-CoA carboxylase activity" // "acetyl-CoA carboxylase activity" // "nucleotide binding"
"accE5"	"probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (epsilon chain)"	"UNCLASSIFIED"	"superpathway of mycolate biosynthesis" // "biotin-carboxyl carrier protein assembly" // "fatty acid biosynthesis initiation I" // "propanoyl CoA degradation I"	"growth" // "carbon fixation"	"acetyl-CoA carboxylase complex" // "cell wall"	"protein binding" // "propionyl-CoA carboxylase activity" // "acetyl-CoA carboxylase activity"
"Accessory Factors Involved in Transport"	""	"transport"	""	""	""	""
"aceAa"	"probable isocitrate lyase"	"UNCLASSIFIED"	"glyoxylate cycle" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"carboxylic acid metabolic process" // "metabolic process" // "isocitrate metabolic process" // "glyoxylate cycle"	"cytosol"	"methylisocitrate lyase activity" // "lyase activity" // "isocitrate lyase activity" // "catalytic activity"
"aceAb"	"probable isocitrate lyase"	"UNCLASSIFIED"	"glyoxylate cycle" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"carboxylic acid metabolic process"	""	"lyase activity" // "isocitrate lyase activity" // "catalytic activity"
"aceE"	"pyruvate dehydrogenase E1 component subunit"	"UNCLASSIFIED"	"pyruvate fermentation to acetate II" // "pyruvate decarboxylation to acetyl CoA"	"oxidation-reduction process" // "metabolic process" // "glycolytic process"	"cytosol" // "pyruvate dehydrogenase complex" // "plasma membrane" // "cell wall" // "extracellular region"	"oxidoreductase activity" // "protein binding" // "pyruvate dehydrogenase (acetyl-transferring) activity" // "catalytic activity" // "magnesium ion binding"
"acetate catabolism"	""	"central intermediary metabolism"	""	""	""	""
"acg"	"Putative NAD(P)H nitroreductase acg"	"UNCLASSIFIED"	""	"oxidation-reduction process" // "response to host immune response" // "response to hypoxia"	"plasma membrane" // "cytosol" // "cell wall"	"oxidoreductase activity"
"ackA"	"probable acetate kinase"	"UNCLASSIFIED"	"pyruvate fermentation to acetate IV" // "superpathway of acetate utilization and formation" // "acetate and ATP formation from acetyl-CoA I" // "mixed acid fermentation" // "pyruvate fermentation to acetate II"	"phosphorylation" // "metabolic process" // "acetyl-CoA biosynthetic process" // "organic acid metabolic process"	"cytosol" // "cytoplasm" // "intracellular"	"magnesium ion binding" // "metal ion binding" // "phosphotransferase activity, carboxyl group as acceptor" // "transferase activity" // "kinase activity" // "acetate kinase activity" // "ATP binding" // "nucleotide binding"
"acn"	"aconitase"	|Genes|	"glyoxylate cycle" // "mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"citrate metabolic process" // "growth" // "propionate metabolic process, methylcitrate cycle" // "response to iron ion" // "metabolic process" // "tricarboxylic acid cycle"	"plasma membrane" // "cytosol" // "cell wall" // "extracellular region"	"citrate dehydratase activity" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "2-methylisocitrate dehydratase activity" // "metal ion binding" // "iron-responsive element binding" // "lyase activity" // "aconitate hydratase activity" // "mRNA 3'-UTR binding" // "mRNA binding" // "RNA binding"
"acpA"	"probable acyl carrier protein"	"UNCLASSIFIED"	""	"lipid A biosynthetic process" // "fatty acid biosynthetic process"	"cytosol"	"phosphopantetheine binding" // "acyl carrier activity" // "acyl binding"
"acpM"	"meromycolate extension acyl carrier protein"	"UNCLASSIFIED"	""	"lipid A biosynthetic process" // "growth" // "acyl-CoA metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"plasma membrane" // "cytosol" // "cytoplasm" // "cell wall"	"phosphopantetheine binding" // "protein binding" // "acyl carrier activity" // "acyl binding"
"acpS"	"holo-[acyl-carrier protein] synthase"	"UNCLASSIFIED"	"acyl carrier protein activation"	"fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"cytoplasm"	"metal ion binding" // "transferase activity" // "holo-[acyl-carrier-protein] synthase activity" // "magnesium ion binding"
"acrA1"	"possible multi-functional enzyme with acyl-CoA-reductase activity"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane"	""
"acs"	"acetyl-coenzyme A synthetase"	"UNCLASSIFIED"	"superpathway of acetate utilization and formation" // "acetate conversion to acetyl-CoA" // "ethanol degradation II"	"acetyl-CoA biosynthetic process from acetate" // "metabolic process"	"cytosol" // "plasma membrane" // "cell wall"	"metal ion binding" // "ligase activity" // "AMP binding" // "ATP binding" // "acetate-CoA ligase activity" // "catalytic activity" // "nucleotide binding"
"action unknown"	""	"transcriptional level"	""	""	""	""
"activator"	""	"transcriptional level"	""	""	""	""
"acyl carrier protein"	""	"large molecule carriers"	""	""	""	""
"acyP"	"probable acylphosphatase"	"UNCLASSIFIED"	""	""	""	"hydrolase activity" // "acylphosphatase activity"
"adaptations"	""	"cell processes"	""	""	""	""
"add"	"probable adenosine deaminase"	"UNCLASSIFIED"	"adenine and adenosine salvage III" // "purine ribonucleosides degradation" // "superpathway of purine deoxyribonucleosides degradation" // "purine deoxyribonucleosides degradation I"	"inosine biosynthetic process" // "hypoxanthine salvage" // "adenosine catabolic process" // "purine ribonucleoside monophosphate biosynthetic process" // "nucleotide metabolic process"	"cytosol"	"zinc ion binding" // "metal ion binding" // "deaminase activity" // "hydrolase activity" // "adenosine deaminase activity"
"adh"	"probable alcohol dehydrogenase"	"UNCLASSIFIED"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"acetaldehyde catabolic process" // "oxidation-reduction process"	"plasma membrane" // "cytosol" // "cell wall"	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "alcohol dehydrogenase (NAD+) activity" // "metal ion binding" // "oxidoreductase activity" // "zinc ion binding" // "alcohol dehydrogenase (NADP+) activity"
"adhA"	"probable alcohol dehydrogenase"	"UNCLASSIFIED"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"oxidation-reduction process"	"cytosol"	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "metal ion binding" // "oxidoreductase activity" // "zinc ion binding" // "alcohol dehydrogenase (NAD+) activity"
"adhB"	"possible zinc-containing alcohol dehydrogenase NAD dependent"	"UNCLASSIFIED"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"formaldehyde catabolic process" // "oxidation-reduction process"	"cytosol" // "plasma membrane" // "cytoplasm"	"S-(hydroxymethyl)glutathione dehydrogenase activity" // "alcohol dehydrogenase activity, zinc-dependent" // "metal ion binding" // "oxidoreductase activity" // "zinc ion binding" // "alcohol dehydrogenase (NAD+) activity"
"adhC"	"probable NADP-dependent alcohol dehydrogenase"	"UNCLASSIFIED"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"oxidation-reduction process"	"plasma membrane" // "cytosol" // "cell wall"	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "metal ion binding" // "oxidoreductase activity" // "zinc ion binding" // "alcohol dehydrogenase (NADP+) activity"
"adhD"	"probable zinc-type alcohol dehydrogenase"	"UNCLASSIFIED"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"formaldehyde catabolic process" // "response to acidic pH" // "oxidation-reduction process" // "growth of symbiont in host cell" // "response to acid chemical"	"cytosol" // "cell wall"	"S-(hydroxymethyl)glutathione dehydrogenase activity" // "alcohol dehydrogenase activity, zinc-dependent" // "metal ion binding" // "oxidoreductase activity" // "zinc ion binding" // "alcohol dehydrogenase (NAD+) activity"
"adhE1"	"alcohol dehydrogenase"	"UNCLASSIFIED"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"oxidation-reduction process"	"cytosol"	"metal ion binding" // "oxidoreductase activity" // "zinc ion binding"
"adk"	"adenylate kinase"	"UNCLASSIFIED"	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"	"nucleoside monophosphate phosphorylation" // "nucleotide phosphorylation" // "AMP salvage" // "phosphorylation" // "nucleotide biosynthetic process" // "nucleoside triphosphate metabolic process" // "nucleoside diphosphate metabolic process" // "nucleoside monophosphate metabolic process" // "nucleoside diphosphate phosphorylation" // "purine nucleobase metabolic process" // "nucleobase-containing compound metabolic process"	"plasma membrane" // "cytosol" // "cytoplasm" // "cell wall"	"nucleobase-containing compound kinase activity" // "transferase activity" // "kinase activity" // "ATP binding" // "nucleoside diphosphate kinase activity" // "adenylate kinase activity" // "nucleotide binding"
"adoK"	"adenosine kinase"	"UNCLASSIFIED"	"adenine and adenosine salvage VI"	"carbohydrate phosphorylation" // "AMP salvage" // "phosphorylation" // "purine ribonucleoside salvage"	"cytoplasm" // "cytosol" // "plasma membrane"	"carbohydrate kinase activity" // "dGTP binding" // "phosphotransferase activity, alcohol group as acceptor" // "transferase activity" // "kinase activity" // "GTP binding" // "ATP binding" // "protein binding" // "adenosine kinase activity" // "magnesium ion binding" // "nucleotide binding"
"aerobic respiration"	""	"energy metabolism, carbon"	""	""	""	""
"aftA"	G185E-8088-MONOMER	|Genes|	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"	"capsule polysaccharide biosynthetic process" // "mycolate cell wall layer assembly" // "cell wall organization" // "cell wall macromolecule biosynthetic process" // "growth"	"integral component of membrane" // "membrane" // "plasma membrane" // "cell wall"	"UDP-galactosyltransferase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity"
"aftB"	G185E-8101-MONOMER	|Genes|	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"	"cell wall organization" // "capsule polysaccharide biosynthetic process" // "growth"	"plasma membrane" // "integral component of membrane" // "membrane"	"transferase activity, transferring glycosyl groups" // "transferase activity"
"aftC"	G185E-6921-MONOMER	|Genes|	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"	"cell wall organization" // "capsule polysaccharide biosynthetic process" // "growth"	"integral component of membrane" // "membrane" // "plasma membrane"	"transferase activity, transferring hexosyl groups" // "transferase activity, transferring glycosyl groups" // "transferase activity"
"aftD"	"possible arabinofuranosyltransferase"	"UNCLASSIFIED"	""	"capsule polysaccharide biosynthetic process" // "growth"	"integral component of membrane" // "membrane" // "plasma membrane"	"transferase activity"
"aglA"	"probable alpha-glucosidase"	"UNCLASSIFIED"	""	"oligosaccharide catabolic process" // "carbohydrate metabolic process"	"plasma membrane" // "cytosol" // "cell wall"	"alpha-amylase activity" // "catalytic activity"
"agpS"	"possible alkyldihydroxyacetonephosphate synthase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol" // "cell wall"	"FAD binding" // "flavin adenine dinucleotide binding" // "oxidoreductase activity, acting on CH-OH group of donors" // "oxidoreductase activity" // "catalytic activity"
"ahpC"	"alkyl hydroperoxide reductase C protein"	"UNCLASSIFIED"	""	"hydrogen peroxide catabolic process" // "response to oxidative stress" // "cellular oxidant detoxification" // "oxidation-reduction process" // "response to nitrosative stress" // "cell redox homeostasis"	"cell" // "cytoplasm" // "cytosol" // "plasma membrane" // "cell wall"	"thioredoxin peroxidase activity" // "peroxiredoxin activity" // "hydroperoxide reductase activity" // "oxidoreductase activity" // "antioxidant activity" // "alkyl hydroperoxide reductase activity" // "protein binding" // "peroxidase activity"
"ahpD"	"alkyl hydroperoxide reductase D protein"	"UNCLASSIFIED"	""	"cellular oxidant detoxification" // "oxidation-reduction process" // "cell redox homeostasis" // "response to oxidative stress"	"cell" // "plasma membrane"	"alkyl hydroperoxide reductase activity" // "peroxiredoxin activity" // "hydroperoxide reductase activity" // "oxidoreductase activity" // "antioxidant activity" // "disulfide oxidoreductase activity" // "protein binding" // "peroxidase activity"
"ahpE"	"probable peroxiredoxin"	"UNCLASSIFIED"	""	"cellular response to oxidative stress" // "cell redox homeostasis" // "cellular oxidant detoxification" // "oxidation-reduction process" // "response to nitrosative stress"	"cell" // "cytoplasm" // "cytosol"	"thioredoxin peroxidase activity" // "peroxiredoxin activity" // "oxidoreductase activity" // "antioxidant activity" // "protein binding" // "peroxidase activity"
"alanine"	""	"amino acids"	""	""	""	""
"alaS"	"probable alanyl-tRNA synthetase"	"UNCLASSIFIED"	"tRNA charging"	"aminoacyl-tRNA metabolism involved in translational fidelity" // "tRNA aminoacylation" // "growth" // "alanyl-tRNA aminoacylation" // "translation" // "tRNA modification"	"plasma membrane" // "cytosol" // "cytoplasm" // "cell wall"	"aminoacyl-tRNA editing activity" // "zinc ion binding" // "metal ion binding" // "ligase activity" // "amino acid binding" // "ATP binding" // "alanine-tRNA ligase activity" // "aminoacyl-tRNA ligase activity" // "RNA binding" // "nucleic acid binding" // "nucleotide binding" // "tRNA binding"
"alaT"	"tRNA-Ala"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"alaU"	"tRNA-Ala"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"alaV"	"tRNA-Ala"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"ald"	"secreted L-alanine dehydrogenase"	"UNCLASSIFIED"	"L-alanine degradation IV"	"oxidation-reduction process" // "L-alanine catabolic process" // "alanine catabolic process" // "response to hypoxia"	"plasma membrane" // "cytosol" // "cell wall" // "extracellular region"	"metal ion binding" // "oxidoreductase activity" // "alanine dehydrogenase activity" // "nucleotide binding"
"aldA"	"probable aldehyde dehydrogenase NAD dependent"	"UNCLASSIFIED"	"octane oxidation" // "ethanol degradation II"	"oxidation-reduction process" // "metabolic process"	"cytosol"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" // "oxidoreductase activity"
"aldC"	"probable aldehyde dehydrogenase"	"UNCLASSIFIED"	"octane oxidation" // "ethanol degradation II"	"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway" // "oxidation-reduction process" // "growth" // "metabolic process"	"plasma membrane"	"1-pyrroline dehydrogenase activity" // "aminobutyraldehyde dehydrogenase activity" // "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" // "oxidoreductase activity"
"aldR"	"transcriptional regulatory protein AldR subunit"	"UNCLASSIFIED"	""	"response to amino acid" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol" // "intracellular"	"identical protein binding" // "sequence-specific DNA binding" // "DNA-binding transcription factor activity" // "DNA binding"
"alkA"	"probable bifunctional regulatory protein and DNA repair enzyme"	"UNCLASSIFIED"	""	"base-excision repair, AP site formation" // "response to nitrosative stress" // "methylation" // "metabolic process" // "cellular response to DNA damage stimulus" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated" // "DNA dealkylation involved in DNA repair" // "base-excision repair" // "DNA repair"	"protein-DNA complex" // "cytoplasm" // "cytosol" // "plasma membrane" // "cell wall"	"alkylated DNA binding" // "DNA-3-methylguanine glycosylase activity" // "DNA-7-methyladenine glycosylase activity" // "metal ion binding" // "DNA-7-methylguanine glycosylase activity" // "sequence-specific DNA binding" // "hydrolase activity" // "transferase activity" // "DNA-3-methyladenine glycosylase activity" // "zinc ion binding" // "methyltransferase activity" // "alkylbase DNA N-glycosylase activity" // "catalytic activity" // "DNA-binding transcription factor activity" // "DNA binding"
"alkB"	"alkane hydroxylase"	|Genes|	"octane oxidation"	"oxidation-reduction process" // "alkane catabolic process" // "lipid metabolic process"	"integral component of membrane" // "membrane" // "plasma membrane"	"alkane 1-monooxygenase activity" // "oxidoreductase activity" // "midchain alkane hydroxylase activity" // "monooxygenase activity"
"allantoin assimilation"	""	"central intermediary metabolism"	""	""	""	""
"alr"	"alanine racemase"	"UNCLASSIFIED"	"L-alanine biosynthesis I"	"growth" // "D-alanine biosynthetic process" // "peptidoglycan biosynthetic process" // "alanine metabolic process"	"cytosol"	"pyridoxal phosphate binding" // "isomerase activity" // "alanine racemase activity" // "protein binding" // "catalytic activity"
"amiA1"	"possible N-acyl-L-amino acid amidohydrolase"	"UNCLASSIFIED"	""	"metabolic process"	""	"hydrolase activity"
"amiA2"	"probable amidase"	"UNCLASSIFIED"	""	""	"cytosol"	"indoleacetamide hydrolase activity" // "hydrolase activity" // "amidase activity"
"amiB1"	"probable amidohydrolase"	"UNCLASSIFIED"	""	"folic acid catabolic process" // "proteolysis" // "metabolic process"	"cytoplasm" // "cytosol"	"para-aminobenzoyl-glutamate hydrolase activity" // "dipeptidase activity" // "hydrolase activity"
"amiB2"	"probable amidase"	"UNCLASSIFIED"	""	""	"cytosol"	"indoleacetamide hydrolase activity" // "hydrolase activity" // "amidase activity"
"amiC"	"probable amidase"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane" // "cell wall"	"indoleacetamide hydrolase activity" // "hydrolase activity" // "amidase activity"
"amiD"	"probable amidase"	"UNCLASSIFIED"	""	""	"cytosol"	"indoleacetamide hydrolase activity" // "hydrolase activity" // "amidase activity"
"amines"	""	"carbon utilization"	""	""	""	""
"amino acid -activation"	""	"protein related"	""	""	""	""
"amino acid conversion"	""	"central intermediary metabolism"	""	""	""	""
"amino acids"	""	"carbon utilization"	""	""	""	""
"amino acids"	""	"biosynthesis of building blocks"	""	""	""	""
"amino sugar conversions"	""	"central intermediary metabolism"	""	""	""	""
"aminobutyrate catabolism"	""	"central intermediary metabolism"	""	""	""	""
"amt"	"probable ammonium-transport integral membrane protein"	"transport" // "UNCLASSIFIED"	""	"nitrogen utilization" // "ammonium transmembrane transport" // "ammonium transport"	"integral component of plasma membrane" // "integral component of membrane" // "membrane" // "plasma membrane"	"ammonium transmembrane transporter activity" // "transporter activity"
"anaerobic respiration"	""	"energy metabolism, carbon"	""	""	""	""
"ansA"	"probable L-asparaginase"	"UNCLASSIFIED"	"L-asparagine degradation I"	"asparagine metabolic process" // "asparagine catabolic process" // "cellular amino acid metabolic process"	"periplasmic space" // "cytosol" // "cytoplasm"	"hydrolase activity" // "asparaginase activity"
"ansP1"	"L-asparagine permease"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "amino acid transport" // "amino acid transmembrane transport"	"integral component of membrane" // "membrane" // "plasma membrane" // "extracellular region"	"transmembrane transporter activity" // "amino acid transmembrane transporter activity" // "transporter activity"
"ansP2"	"possible L-asparagine permease"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "amino acid transport" // "amino acid transmembrane transport"	"integral component of membrane" // "membrane" // "plasma membrane" // "extracellular region"	"transmembrane transporter activity" // "amino acid transmembrane transporter activity" // "transporter activity"
"antisense RNA"	""	"RNA related"	""	""	""	""
"antisense RNA"	""	"posttranscriptional"	""	""	""	""
"aofH"	"probable flavin-containing monoamine oxidase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"plasma membrane" // "cytosol"	"oxidoreductase activity"
"apa"	"alanine and proline rich secreted protein"	"UNCLASSIFIED"	""	"induction by symbiont of host immune response" // "cellular response to starvation"	"cell surface" // "extracellular region"	"extracellular matrix binding"
"aprA"	"acid and phagosome regulated protein A"	"UNCLASSIFIED"	""	""	""	""
"aprB"	"acid and phagosome regulated protein B"	"UNCLASSIFIED"	""	""	""	""
"apt"	"adenine phosphoribosyltransferase"	"UNCLASSIFIED"	"adenine and adenosine salvage I" // "adenine and adenosine salvage II"	"AMP salvage" // "nucleoside metabolic process" // "adenine salvage" // "purine ribonucleoside salvage"	"cytosol" // "plasma membrane" // "cytoplasm"	"transferase activity, transferring glycosyl groups" // "transferase activity" // "adenine phosphoribosyltransferase activity"
"arcA"	"probable arginine deiminase"	"UNCLASSIFIED"	"L-arginine degradation V (arginine deiminase pathway)"	"arginine deiminase pathway" // "arginine catabolic process to ornithine" // "protein citrullination" // "arginine catabolic process" // "arginine metabolic process"	"cytosol" // "plasma membrane" // "cytoplasm"	"arginine deiminase activity" // "hydrolase activity"
"argA"	"L-glutamate alpha-N-acetyltranferase"	"UNCLASSIFIED"	"L-arginine biosynthesis I (via L-ornithine)" // "L-ornithine biosynthesis I" // "L-arginine biosynthesis II (acetyl cycle)"	"protein homotetramerization" // "arginine biosynthetic process via ornithine" // "growth" // "cellular amino acid biosynthetic process" // "arginine biosynthetic process"	"cytoplasm" // "cytosol"	"methione N-acyltransferase activity" // "protein homodimerization activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "N-acetyltransferase activity" // "acetyl-CoA:L-glutamate N-acetyltransferase activity"
"argB"	"probable acetylglutamate kinase"	"UNCLASSIFIED"	"L-arginine biosynthesis I (via L-ornithine)" // "L-ornithine biosynthesis I" // "L-arginine biosynthesis II (acetyl cycle)"	"arginine biosynthetic process via ornithine" // "growth" // "phosphorylation" // "cellular amino acid biosynthetic process" // "arginine biosynthetic process"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"arginine binding" // "transferase activity" // "kinase activity" // "ATP binding" // "acetylglutamate kinase activity" // "nucleotide binding"
"argC"	"probable N-acetyl-gamma-glutamyl-phoshate reductase"	"UNCLASSIFIED"	"L-arginine biosynthesis I (via L-ornithine)" // "L-ornithine biosynthesis I" // "L-arginine biosynthesis II (acetyl cycle)"	"oxidation-reduction process" // "growth" // "cellular amino acid biosynthetic process" // "arginine biosynthetic process"	"cytosol" // "cytoplasm"	"NADP+ binding" // "NAD binding" // "protein dimerization activity" // "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "protein binding" // "N-acetyl-gamma-glutamyl-phosphate reductase activity"
"argD"	"probable acetylornithine aminotransferase"	"UNCLASSIFIED"	"L-arginine biosynthesis I (via L-ornithine)" // "L-ornithine biosynthesis I" // "L-arginine biosynthesis II (acetyl cycle)"	"growth" // "cellular amino acid biosynthetic process" // "arginine biosynthetic process" // "arginine metabolic process"	"cytosol" // "cytoplasm"	"identical protein binding" // "pyridoxal phosphate binding" // "transferase activity" // "transaminase activity" // "N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity" // "catalytic activity"
"argF"	"probable ornithine carbamoyltransferase, anabolic"	"UNCLASSIFIED"	"L-arginine degradation V (arginine deiminase pathway)" // "L-arginine biosynthesis I (via L-ornithine)" // "L-arginine biosynthesis II (acetyl cycle)" // "L-citrulline degradation"	"citrulline biosynthetic process" // "arginine biosynthetic process via ornithine" // "urea cycle" // "growth" // "cellular amino acid biosynthetic process" // "ornithine metabolic process" // "arginine biosynthetic process" // "cellular amino acid metabolic process"	"cytosol" // "cytoplasm"	"carboxyl- or carbamoyltransferase activity" // "transferase activity" // "amino acid binding" // "ornithine carbamoyltransferase activity"
